,이름,연식,주행거리,연료,배기량,색상,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격),가격,신차대비가격,링크
1280,현대 쏘나타 하이브리드,129,110000,가솔린 하이브리드,1999,검정색,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,5.0,4979344,1.0,825190,7300000,21,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162757&gubun=K
1281,현대 YF쏘나타 2.0,153,75000,1,1998,검정색,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,3.0,2323320,7.0,3518594,6200000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162845&gubun=K
1282,현대 YF쏘나타 2.0,167,124000,1,1998,검정색,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,4.0,3745962,3.0,1590120,4500000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162846&gubun=K
1283,현대 YF쏘나타 2.0,150,100000,1,1998,검정색,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,5.0,0.0,0.0,0.0,0.0,4.0,3217843,5.0,4908081,5800000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2156495&gubun=K
1284,현대 YF쏘나타 2.0,153,120000,2,1998,은색,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1,4.0,0.0,0.0,0.0,0.0,6.0,3092116,9.0,5801332,3900000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160437&gubun=K
1285,현대 YF쏘나타 2.0,154,130000,2,1998,흰색,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,3.0,0.0,0.0,0.0,0.0,2.0,1632724,2.0,11136330,4200000,20,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160438&gubun=K
1286,현대 YF쏘나타 2.0,146,119000,2,1998,진회색,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,3.0,0.0,0.0,0.0,0.0,5.0,5379094,7.0,4980393,4500000,18,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161122&gubun=K
1287,현대 쏘나타 뉴,71,111771,1,1999,흰색,,,,,,,,,,,1,2.0,0.0,0.0,0.0,0.0,2.0,1503289,0.0,0,9800000,43,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2154708&gubun=K
1288,현대 쏘나타 2.0,25,155024,1,1999,흰색,,,,,,,,,,,1,2.0,0.0,0.0,0.0,0.0,2.0,1277738,4.0,3472956,12500000,50,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161539&gubun=K
1289,현대 YF쏘나타 2.0,121,155594,2,1998,검정색,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,,3200000,13,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163342&gubun=K
1290,현대 LF쏘나타 2.0,94,1240000,1,1999,흰색,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,,,,,,,,,,10700000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163164&gubun=K
1291,현대 NF쏘나타 트랜스폼,173,205700,1,1998,검정색,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,,,,,,,,,,2300000,15,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163151&gubun=K
1292,현대 쏘나타 뉴,70,104088,1,1999,흰색,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1,,,,,,,,,,15000000,66,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162885&gubun=K
1293,현대 YF쏘나타 ,168,132000,1,1998,흰색,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,,,,,,,,,,4300000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159161&gubun=K
1294,현대 NF쏘나타 트랜스폼,164,143500,2,1998,검정색,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,,,,,,,,,,3200000,15,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162556&gubun=K
1295,현대 YF쏘나타 2.0,145,101114,2,1998,검정색,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1,7.0,0.0,0.0,0.0,0.0,3.0,4505514,2.0,1535120,2800000,11,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162475&gubun=K
1296,현대 YF쏘나타 2.0,149,81488,2,1998,흰색,,,,,,,,,,,1,,,,,,,,,,3100000,12,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162339&gubun=K
1297,현대 쏘나타 2.0,41,47633,2,1999,흰색,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1109910,0.0,0,23500000,89,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2152277&gubun=K
1298,현대 쏘나타 하이브리드,31,20917,가솔린 하이브리드,1999,흰색,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,32700000,86,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2154253&gubun=K
1299,현대 쏘나타 1.6,15,3482,2,1598,회색,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,1259560,0.0,0,26200000,88,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2155014&gubun=K
1300,현대 쏘나타 2.0,3,100,1,1999,흰색,,,,,,,,,,,1,,,,,,,,,,10000,운용,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161621&gubun=K
1301,현대 쏘나타 ,46,13000,2,1598,흰색,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,,,,,,22500000,78,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160045&gubun=K
1302,현대 쏘나타 하이브리드,131,200000,하이브리드(가솔린/전기),1999,흰색,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,,,,,,,,,,6000000,19,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161141&gubun=K
1303,현대 LF쏘나타 하이브리드,62,57786,하이브리드(가솔린/전기),1999,검정색,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,,,,,,,,,,20000000,62,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160556&gubun=K
1304,현대 쏘나타 뉴,69,124000,0,1685,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,,,,,,,,,,13000000,41,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159920&gubun=K
1305,현대 YF쏘나타 ,149,139000,2,1998,흰색,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,,,,,,,,,,5700000,20,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159240&gubun=K
