,이름,연식,주행거리,연료,배기량,색상,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격),가격,신차대비가격,링크
0,현대 그랜저HG 300,114,180900,2,2999,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,4.0,0.0,0.0,0.0,0.0,3.0,1981920,0.0,0,8200000,25,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161935&gubun=K
1,현대 그랜저 뉴,164,265753,1,2656,검정색,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,4.0,3274363,6.0,2834910,3990000,15,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161119&gubun=K
2,현대 그랜저HG 300,80,89076,1,2999,검정색,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,2.0,1904690,0.0,0,11200000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160506&gubun=K
3,현대 그랜저HG 300,122,111306,2,2999,검정색,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,5.0,0.0,0.0,0.0,0.0,2.0,5660104,1.0,3830176,7490000,19,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161923&gubun=K
4,현대 그랜저HG 300,110,102801,2,2999,검정색,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,4.0,0.0,0.0,0.0,0.0,7.0,11149558,3.0,8119080,9900000,30,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162103&gubun=K
5,현대 그랜저HG 240,111,76579,2,2359,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,5.0,8925726,6.0,4576700,10500000,35,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162053&gubun=K
6,현대 그랜저HG 240,77,76890,2,2359,흰색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,4.0,0.0,0.0,0.0,0.0,2.0,1227525,2.0,2336609,13300000,43,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162171&gubun=K
7,현대 그랜저HG 220,80,71711,2,2199,흰색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,,,,,,,,,,12700000,39,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162773&gubun=K
8,현대 그랜저HG 300,113,82342,2,2999,검정색,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,3.0,0.0,0.0,0.0,0.0,1.0,336408,1.0,1055570,10500000,32,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162813&gubun=K
9,현대 그랜저HG 240,109,82672,2,2359,흰색,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,2.0,0.0,0.0,0.0,0.0,4.0,7614774,1.0,4679400,11500000,38,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162884&gubun=K
10,현대 그랜저IG 3.0,39,17856,2,2999,회색,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,12082770,2.0,8686880,21490000,55,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163149&gubun=K
11,현대 그랜저HG 하이브리드,106,87315,가솔린/LPG겸용,2359,흰색,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,3.0,0.0,0.0,0.0,0.0,2.0,13419780,1.0,1599770,14700000,39,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163548&gubun=K
12,현대 그랜저IG 3.0,51,47275,2,2999,회색,,,,,,,,,,,1,1.0,0.0,0.0,0.0,0.0,2.0,6179073,0.0,0,19400000,53,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163158&gubun=K
13,현대 그랜저IG 3.0,61,83103,1,2999,흰색,,,,,,,,,,,1,5.0,0.0,0.0,0.0,0.0,2.0,5125133,0.0,0,19900000,69,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163160&gubun=K
14,현대 더 럭셔리,156,152353,2,2656,흰색,,,,,,,,,,,1,2.0,0.0,0.0,0.0,0.0,2.0,1799876,0.0,0,5300000,17,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2156711&gubun=K
15,현대 그랜저IG 하이브리드,59,81957,가솔린 하이브리드,2359,검정색,,,,,,,,,,,1,1.0,0.0,0.0,0.0,0.0,1.0,4564258,0.0,0,24500000,62,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158316&gubun=K
16,현대 그랜저IG 3.0,53,4750,2,2999,검정색,,,,,,,,,,,1,1.0,0.0,0.0,0.0,0.0,4.0,22129773,3.0,13523025,21900000,60,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159425&gubun=K
17,현대 그랜저HG 300,134,86753,2,2999,검정색,,,,,,,,,,,1,1.0,0.0,0.0,0.0,0.0,6.0,11197373,4.0,10901793,8700000,26,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160451&gubun=K
18,현대 그랜저IG 2.4,49,94976,2,2359,검정색,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,21500000,66,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2153763&gubun=K
19,현대 그랜저HG 300,119,33747,2,2999,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,2.0,0.0,0.0,0.0,0.0,1.0,286980,1.0,464400,15500000,47,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163327&gubun=K
20,현대 그랜저HG 300,114,180900,2,2999,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,4.0,0.0,0.0,0.0,0.0,3.0,1981920,0.0,0,8200000,25,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161935&gubun=K
21,현대 그랜저 뉴,164,265753,1,2656,검정색,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,4.0,3274363,6.0,2834910,3990000,15,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161119&gubun=K
22,현대 그랜저HG 300,80,89076,1,2999,검정색,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,2.0,1904690,0.0,0,11200000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160506&gubun=K
23,현대 그랜저HG 300,122,111306,2,2999,검정색,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,5.0,0.0,0.0,0.0,0.0,2.0,5660104,1.0,3830176,7490000,19,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161923&gubun=K
24,현대 그랜저HG 300,110,102801,2,2999,검정색,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,4.0,0.0,0.0,0.0,0.0,7.0,11149558,3.0,8119080,9900000,30,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162103&gubun=K
25,현대 그랜저HG 240,111,76579,2,2359,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,5.0,8925726,6.0,4576700,10500000,35,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162053&gubun=K
26,현대 그랜저HG 240,77,76890,2,2359,흰색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,4.0,0.0,0.0,0.0,0.0,2.0,1227525,2.0,2336609,13300000,43,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162171&gubun=K
27,현대 그랜저HG 220,80,71711,2,2199,흰색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,,,,,,,,,,12700000,39,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162773&gubun=K
28,현대 그랜저HG 300,113,82342,2,2999,검정색,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,3.0,0.0,0.0,0.0,0.0,1.0,336408,1.0,1055570,10500000,32,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162813&gubun=K
29,현대 그랜저HG 240,109,82672,2,2359,흰색,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,2.0,0.0,0.0,0.0,0.0,4.0,7614774,1.0,4679400,11500000,38,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162884&gubun=K
30,현대 그랜저IG 3.0,39,17856,2,2999,회색,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,12082770,2.0,8686880,21490000,55,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163149&gubun=K
31,현대 그랜저HG 하이브리드,106,87315,가솔린/LPG겸용,2359,흰색,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,3.0,0.0,0.0,0.0,0.0,2.0,13419780,1.0,1599770,14700000,39,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163548&gubun=K
32,현대 그랜저IG 3.0,51,47275,2,2999,회색,,,,,,,,,,,1,1.0,0.0,0.0,0.0,0.0,2.0,6179073,0.0,0,19400000,53,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163158&gubun=K
33,현대 그랜저IG 3.0,61,83103,1,2999,흰색,,,,,,,,,,,1,5.0,0.0,0.0,0.0,0.0,2.0,5125133,0.0,0,19900000,69,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163160&gubun=K
34,현대 더 럭셔리,156,152353,2,2656,흰색,,,,,,,,,,,1,2.0,0.0,0.0,0.0,0.0,2.0,1799876,0.0,0,5300000,17,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2156711&gubun=K
35,현대 그랜저IG 하이브리드,59,81957,가솔린 하이브리드,2359,검정색,,,,,,,,,,,1,1.0,0.0,0.0,0.0,0.0,1.0,4564258,0.0,0,24500000,62,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158316&gubun=K
36,현대 그랜저IG 3.0,53,4750,2,2999,검정색,,,,,,,,,,,1,1.0,0.0,0.0,0.0,0.0,4.0,22129773,3.0,13523025,21900000,60,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159425&gubun=K
37,현대 그랜저HG 300,134,86753,2,2999,검정색,,,,,,,,,,,1,1.0,0.0,0.0,0.0,0.0,6.0,11197373,4.0,10901793,8700000,26,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160451&gubun=K
38,현대 그랜저IG 2.4,49,94976,2,2359,검정색,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,21500000,66,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2153763&gubun=K
39,현대 그랜저HG 300,119,33747,2,2999,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,2.0,0.0,0.0,0.0,0.0,1.0,286980,1.0,464400,15500000,47,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163327&gubun=K
40,현대 더 뉴,48,29382,2,2497,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,546717,0.0,0,32900000,89,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163111&gubun=K
41,현대 그랜저 ,377,141000,2,1997,진회색,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,8000000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2138204&gubun=K
42,현대 그랜저IG ,61,87000,0,2199,빨간색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,,,,,,,,,,18000000,51,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163170&gubun=K
43,현대 그랜저HG 하이브리드,90,176615,가솔린 하이브리드,2359,청옥색,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,,,,,,,,,,12880000,34,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2150852&gubun=K
44,현대 그랜저HG 3.0,89,144730,1,2999,진주색,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,4.0,0.0,0.0,0.0,0.0,1.0,984618,0.0,0,11500000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2143170&gubun=K
45,현대 더 럭셔리,148,236330,1,2656,검정색,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,4.0,0.0,0.0,0.0,0.0,3.0,3741178,4.0,3857670,3750000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159087&gubun=K
46,현대 그랜저HG 300,87,184760,1,2999,진주색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,9500000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160076&gubun=K
47,현대 그랜저IG ,70,94947,2,2359,검정색,,,,,,,,,,,0,,,,,,,,,,12990000,40,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2126217&gubun=K
48,현대 그랜저TG Q270,194,236648,1,2656,검정색,,,,,,,,,,,1,2.0,0.0,0.0,0.0,0.0,8.0,16269989,1.0,668288,2200000,0,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160391&gubun=K
49,현대 그랜저TG Q270,181,139367,1,2656,검정색,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,2.0,7885540,2.0,2053089,2600000,1,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160694&gubun=K
50,현대 그랜저HG 240,142,180796,2,2359,검정색,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,5990000,20,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161644&gubun=K
51,현대 그랜저 뉴,175,179912,2,2656,검정색,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,10.0,10642824,3.0,2801664,2700000,8,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161789&gubun=K
52,현대 그랜저 뉴,171,105458,2,2656,검정색,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,7.0,6688210,7.0,4019755,2990000,9,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161790&gubun=K
53,현대 그랜저TG Q270,182,174228,2,2656,검정색,,,,,,,,,,,1,6.0,0.0,0.0,0.0,0.0,4.0,2463861,2.0,1705460,2200000,7,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162747&gubun=K
54,현대 그랜저HG 300,135,185985,2,2999,검정색,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,0.0,0.0,0.0,0.0,7.0,8535641,4.0,5912111,5500000,16,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162749&gubun=K
55,현대 그랜저TG Q270,200,137844,2,2656,검정색,,,,,,,,,,,1,7.0,0.0,0.0,0.0,0.0,2.0,1354838,1.0,416640,2600000,8,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163364&gubun=K
56,현대 그랜저 뉴,162,158682,2,2656,검정색,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,0.0,0.0,0.0,0.0,3.0,1592356,2.0,3911568,3200000,10,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163365&gubun=K
57,현대 더 뉴,32,35125,가솔린 하이브리드,2359,검정색,,,,,,,,,,,1,1.0,0.0,0.0,0.0,0.0,1.0,1218060,0.0,0,38900000,86,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2149892&gubun=K
58,현대 더 뉴,26,36629,2,2497,검정색,,,,,,,,,,,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,540728,31990000,86,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2152072&gubun=K
59,현대 그랜저IG 3.0,55,52829,2,2999,진회색,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,27700000,71,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2153188&gubun=K
60,현대 그랜저IG 3.0,84,69344,1,2999,흰색,,,,,,,,,,,1,2.0,0.0,0.0,0.0,0.0,3.0,3789990,0.0,0,19900000,59,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158958&gubun=K
61,현대 그랜저IG 3.0,67,56247,1,2999,흰색,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,22300000,77,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158960&gubun=K
62,현대 그랜저IG 하이브리드,38,67142,가솔린 하이브리드,2359,검정색,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0,1.0,304230,29490000,71,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161413&gubun=K
63,현대 더 뉴,13,19910,2,3342,회색,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,36890000,84,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161417&gubun=K
64,현대 더 뉴,48,44397,2,2497,검정색,,,,,,,,,,,1,1.0,0.0,0.0,0.0,0.0,2.0,2160586,0.0,0,34990000,85,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162872&gubun=K
65,현대 그랜저IG ,65,107704,1,2999,검정색,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,,,,,,,,,22900000,65,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2149136&gubun=K
66,현대 그랜저IG ,55,82819,1,2999,흰색,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,,,,,,,,,,21300000,73,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2149487&gubun=K
67,현대 그랜저HG ,103,175670,0,2199,흰색,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,,,,,,,,,,12500000,36,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2151952&gubun=K
68,현대 그랜저IG ,66,112825,2,3342,검정색,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,,,,,,,,,22900000,52,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2154133&gubun=K
69,현대 그랜저IG ,67,118071,2,3342,흰색,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,,,,,,,,,23900000,55,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2158698&gubun=K
70,현대 그랜저IG 하이브리드,71,32823,가솔린 하이브리드,2359,흰색,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,,,,,,,,,36500000,88,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161779&gubun=K
71,현대 그랜저IG 하이브리드,38,80711,가솔린 하이브리드,2359,흰색,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,,,,,,,,,,33500000,80,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163531&gubun=K
72,현대 더 뉴,29,18500,2,2497,검정색,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,37300000,90,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160753&gubun=K
73,현대 더 럭셔리,166,117484,2,2656,은색,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1,3.0,0.0,0.0,0.0,0.0,7.0,7716744,3.0,8930820,4600000,13,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162384&gubun=K
74,현대 그랜저IG 하이브리드,65,104287,가솔린 하이브리드,2359,기타색상,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,255898,20500000,55,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162786&gubun=K
75,현대 그랜저IG 2.4,53,71263,2,2359,기타색상,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,4.0,6082166,4.0,3050194,20600000,63,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162928&gubun=K
76,현대 그랜저IG 3.3,51,77232,2,3342,기타색상,,,,,,,,,,,1,0.0,0.0,0.0,0.0,0.0,2.0,1233530,1.0,682950,19390000,44,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163195&gubun=K
77,현대 그랜저IG 하이브리드,53,142612,가솔린 하이브리드,2359,흰색,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,2.0,0.0,0.0,0.0,0.0,2.0,1254801,1.0,273750,23500000,59,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163544&gubun=K
78,현대 그랜저IG 3.0,67,347000,1,2999,은색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,,,,,,,,,,8900000,30,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2142764&gubun=K
79,현대 그랜저IG 3.0,64,361000,1,2999,검정색,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,,,,,,,,,,9990000,34,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2156734&gubun=K
80,현대 그랜저IG 하이브리드,55,24800,가솔린 하이브리드,2359,검정색,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,,,,,,,,,,27900000,70,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2157130&gubun=K
81,현대 그랜저IG 하이브리드,40,25000,가솔린 하이브리드,2359,진회색,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,,,,,,,,,,29700000,71,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159461&gubun=K
82,현대 그랜저HG 300,129,420000,1,2999,은색,,,,,,,,,,,1,,,,,,,,,,3600000,,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160885&gubun=K
83,현대 그랜저IG 2.4,71,69999,2,2359,검정색,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1.0,12323160,0.0,0,17900000,49,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160919&gubun=K
84,현대 더 뉴,32,24000,2,2497,흰색,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,31500000,93,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160954&gubun=K
85,현대 더 뉴,27,29999,2,2497,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,30990000,92,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2161438&gubun=K
86,현대 그랜저IG 2.4,55,95000,2,2359,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,3.0,1891946,0.0,0,16800000,53,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163040&gubun=K
87,현대 그랜저IG 3.0,63,81000,2,2999,검정색,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0,2.0,2396162,17900000,50,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163042&gubun=K
88,현대 그랜저HG 300,135,137000,2,2999,검정색,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,4.0,0.0,0.0,0.0,0.0,12.0,12598961,12.0,8252088,6500000,19,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163039&gubun=K
89,현대 그랜저IG 2.4,70,53000,2,2359,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,2.0,11563000,17800000,57,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2163041&gubun=K
90,현대 그랜저TG ,188,165400,1,2656,흰색,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,,,,,,,,,,2600000,1,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159762&gubun=K
91,현대 그랜저IG 2.4,61,112000,2,2359,흰색,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,3.0,0.0,0.0,0.0,0.0,3.0,2602949,3.0,1778290,18000000,56,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2154394&gubun=K
92,현대 그랜저IG 3.0,59,57354,1,2999,검정색,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,23000000,79,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2156666&gubun=K
93,현대 그랜저IG 2.4,56,47529,2,2359,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,346738,0.0,0,23600000,69,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160873&gubun=K
94,현대 그랜저IG ,55,34000,2,2999,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0,,,,,,,,,,24300000,67,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2159479&gubun=K
95,현대 더 뉴,31,6962,2,2497,흰색,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,35900000,97,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2162731&gubun=K
96,현대 그랜저HG ,109,106973,2,2359,흰색,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,6.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,6000000,20,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2059664&gubun=K
97,현대 그랜저HG 300,125,82676,2,2999,흰색,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1,4.0,0.0,0.0,0.0,0.0,1.0,856160,1.0,684920,10800000,30,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2160022&gubun=K
98,현대 그랜저HG 240,122,125337,2,2359,검정색,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1,4.0,1.0,0.0,0.0,0.0,7.0,27812779,5.0,10372790,4500000,15,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2156378&gubun=K
